
> frontend@0.1.0 dev
> next dev --port 3000

▲ Next.js 16.1.2 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.10.13.87:3000

✓ Starting...
✓ Ready in 619ms
 GET /?ticker=SLV 200 in 12ms (compile: 1697µs, render: 11ms)
 GET /?ticker=SNDK 200 in 11ms (compile: 4ms, render: 8ms)
 GET /?ticker=PLTR 200 in 13ms (compile: 3ms, render: 10ms)
 GET /?ticker=PLTR 200 in 13ms (compile: 3ms, render: 10ms)
 GET /portfolio 200 in 16ms (compile: 3ms, render: 14ms)
 GET /?ticker=OKLO 200 in 66ms (compile: 15ms, render: 51ms)
 GET /?ticker=META 200 in 24ms (compile: 6ms, render: 18ms)
 GET /?ticker=NVDA 200 in 24ms (compile: 8ms, render: 17ms)
 GET /?ticker=ORCL 200 in 17ms (compile: 6ms, render: 11ms)
 GET /?ticker=RKLB 200 in 22ms (compile: 4ms, render: 17ms)
 GET /?ticker=SIDU 200 in 23ms (compile: 4ms, render: 18ms)
 GET /?ticker=ORCL 200 in 13ms (compile: 2ms, render: 10ms)
 GET /?ticker=RKLB 200 in 18ms (compile: 5ms, render: 13ms)
 GET /?ticker=RKLB 200 in 53ms (compile: 17ms, render: 37ms)
 GET /?ticker=GOOGL 200 in 20ms (compile: 3ms, render: 17ms)
 GET /?ticker=RKLB 200 in 24ms (compile: 6ms, render: 18ms)
 GET / 200 in 89ms (compile: 19ms, render: 70ms)
 GET /?ticker=AAPL 200 in 33ms (compile: 4ms, render: 29ms)
 GET /sw.js 404 in 22ms (compile: 4ms, render: 18ms)
 GET /?ticker=RKLB 200 in 42ms (compile: 19ms, render: 23ms)
 GET /?ticker=RKLB 200 in 167ms (compile: 16ms, render: 151ms)
 GET /sw.js 404 in 27ms (compile: 3ms, render: 23ms)
 GET /settings 200 in 894ms (compile: 826ms, render: 68ms)
 GET / 200 in 47ms (compile: 19ms, render: 29ms)
 GET /?ticker=AAPL 200 in 66ms (compile: 39ms, render: 27ms)
 GET /?ticker=AAPL 200 in 49ms (compile: 7ms, render: 42ms)
 GET /?ticker=RKLB 200 in 60ms (compile: 28ms, render: 32ms)
 GET /settings 200 in 320ms (compile: 56ms, render: 264ms)
 GET /?ticker=RKLB 200 in 155ms (compile: 54ms, render: 101ms)
 GET /sw.js 404 in 42ms (compile: 5ms, render: 37ms)
 GET /portfolio 200 in 60ms (compile: 9ms, render: 51ms)
 GET /sw.js 404 in 23ms (compile: 3ms, render: 19ms)
✓ Compiled in 132ms
 GET /portfolio 200 in 242ms (compile: 120ms, render: 122ms)
 GET /sw.js 404 in 25ms (compile: 7ms, render: 18ms)
 GET /portfolio 200 in 107ms (compile: 35ms, render: 72ms)
 GET /sw.js 404 in 37ms (compile: 6ms, render: 31ms)
 GET /portfolio 200 in 70ms (compile: 22ms, render: 48ms)
 GET /sw.js 404 in 32ms (compile: 4ms, render: 28ms)
 GET /login 200 in 121ms (compile: 105ms, render: 17ms)
 GET / 200 in 25ms (compile: 5ms, render: 20ms)
 GET /?ticker=002050 200 in 12ms (compile: 4ms, render: 9ms)
 GET /?ticker=002050 200 in 26ms (compile: 5ms, render: 21ms)
 GET /portfolio 200 in 24ms (compile: 7ms, render: 17ms)
 GET /portfolio 200 in 30ms (compile: 4ms, render: 26ms)
 GET /sw.js 404 in 40ms (compile: 9ms, render: 32ms)
 GET /login 200 in 208ms (compile: 33ms, render: 175ms)
 GET /sw.js 404 in 34ms (compile: 6ms, render: 28ms)
 GET / 200 in 19ms (compile: 8ms, render: 11ms)
 GET /?ticker=002050 200 in 14ms (compile: 4ms, render: 10ms)
 GET /?ticker=002050 200 in 28ms (compile: 4ms, render: 24ms)
 GET /?ticker=AMD 200 in 10ms (compile: 1875µs, render: 8ms)
 GET /?ticker=AMZN 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?ticker=AMZN 200 in 27ms (compile: 7ms, render: 21ms)
✓ Compiled in 154ms
 GET /portfolio 200 in 268ms (compile: 113ms, render: 156ms)
 GET /sw.js 404 in 20ms (compile: 5ms, render: 15ms)
✓ Compiled in 320ms
⚠ Fast Refresh had to perform a full reload due to a runtime error.
✓ Compiled in 88ms
 GET /portfolio 200 in 290ms (compile: 124ms, render: 167ms)
 GET /sw.js 404 in 16ms (compile: 3ms, render: 13ms)
 GET / 200 in 76ms (compile: 40ms, render: 36ms)
 GET /?ticker=002050 200 in 12ms (compile: 3ms, render: 9ms)
 GET /?ticker=002050 200 in 18ms (compile: 5ms, render: 14ms)
 GET /?ticker=FCX 200 in 36ms (compile: 7ms, render: 29ms)
 GET /?ticker=IAU 200 in 25ms (compile: 8ms, render: 17ms)
 GET /?ticker=PLTR 200 in 23ms (compile: 7ms, render: 16ms)
 GET /portfolio 200 in 29ms (compile: 8ms, render: 21ms)
 GET / 200 in 32ms (compile: 7ms, render: 24ms)
 GET /?ticker=002050 200 in 14ms (compile: 4ms, render: 11ms)
 GET /?ticker=002050 200 in 27ms (compile: 5ms, render: 23ms)
 GET /?ticker=PLTR 200 in 22ms (compile: 5ms, render: 17ms)
 GET /portfolio 200 in 23ms (compile: 5ms, render: 18ms)
 GET /?ticker=AMZN 200 in 93ms (compile: 24ms, render: 69ms)
 GET /sw.js 404 in 44ms (compile: 9ms, render: 35ms)
 GET /?ticker=AMZN 200 in 104ms (compile: 31ms, render: 73ms)
 GET /sw.js 404 in 38ms (compile: 13ms, render: 25ms)
 GET /?ticker=ASTS 200 in 90ms (compile: 42ms, render: 47ms)
 GET /?ticker=FRO 200 in 51ms (compile: 23ms, render: 28ms)
 GET /?ticker=GLD 200 in 40ms (compile: 18ms, render: 22ms)
 GET /?ticker=IAU 200 in 27ms (compile: 7ms, render: 20ms)
 GET /?ticker=IAU 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?ticker=IAU 200 in 61ms (compile: 17ms, render: 44ms)
 GET /sw.js 404 in 49ms (compile: 10ms, render: 39ms)
 GET /?ticker=AMZN 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?ticker=ASTS 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?ticker=SNDK 200 in 23ms (compile: 6ms, render: 17ms)
✓ Compiled in 101ms
 GET /?ticker=SNDK 200 in 305ms (compile: 88ms, render: 217ms)
 GET /sw.js 404 in 32ms (compile: 5ms, render: 27ms)
